birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
"Tenerife, Spain","Right-Handed, Two-Handed Backhand",Roberto Carballes Baena,167,http://www.atpworldtour.com/en/players/roberto-carballes-baena/cf59/overview,ESP,180,1993.03.23,119,118,"Granada, Spain",33,506
"New Delhi, India","Right-Handed, Two-Handed Backhand",Yuki Bhambri,176,http://www.atpworldtour.com/en/players/yuki-bhambri/bf55/overview,IND,183,1992.07.04,120,120,"New Delhi, India",22,503
"Milwaukee, WI, USA","Right-Handed, Two-Handed Backhand",Tim Smyczek,160,http://www.atpworldtour.com/en/players/tim-smyczek/sf62/overview,USA,175,1987.12.30,121,119,"Tampa, FL, USA",26,501
"Kiev, Ukraine","Right-Handed, One-Handed Backhand",Sergiy Stakhovsky,176,http://www.atpworldtour.com/en/players/sergiy-stakhovsky/sc77/overview,UKR,193,1986.01.06,122,122,"Kharkov, Ukraine",26,488
"Birmingham, Great Britain","Right-Handed, One-Handed Backhand",Daniel Evans,165,http://www.atpworldtour.com/en/players/daniel-evans/e687/overview,GBR,175,1990.05.23,123,124,"Birmingham, Great Britain",21,476
"Kanagawa, Japan",Right-Handed,Go Soeda,160,http://www.atpworldtour.com/en/players/go-soeda/sc47/overview,JPN,178,1984.09.05,124,128,"Tokyo, Japan",28,459
"Moscow, Russia",Right-Handed,Konstantin Kravchuk,176,http://www.atpworldtour.com/en/players/konstantin-kravchuk/k776/overview,RUS,191,1985.02.23,125,129,"Moscow, Russia",25,457
"Tbilisi, Georgia","Right-Handed, Two-Handed Backhand",Nikoloz Basilashvili,165,http://www.atpworldtour.com/en/players/nikoloz-basilashvili/bg23/overview,GEO,185,1992.02.23,126,130,"Tbilisi, Georgia",21,456
"Bratislava, Slovak Republic",Right-Handed,Andrej Martin,159,http://www.atpworldtour.com/en/players/andrej-martin/mf35/overview,SVK,180,1989.09.20,127,127,"Bratislava, Slovak Republic",31,456
"Moscow, Russia","Right-Handed, Two-Handed Backhand",Karen Khachanov,194,http://www.atpworldtour.com/en/players/karen-khachanov/ke29/overview,RUS,198,1996.05.21,128,138,"Moscow, Russia",26,454
"Moscow, Russia","Left-Handed, Two-Handed Backhand",Mischa Zverev,178,http://www.atpworldtour.com/en/players/mischa-zverev/z168/overview,GER,191,1987.08.22,129,131,"Monte-Carlo, Monaco",19,447
Sarajevo,"Right-Handed, Two-Handed Backhand",Mirza Basic,194,http://www.atpworldtour.com/en/players/mirza-basic/be67/overview,BIH,188,1991.07.12,130,132,Sarajevo,22,445
