birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
"Maidstone, England",Right-Handed,Jonathan Gray,161,http://www.atpworldtour.com/en/players/jonathan-gray/gk30/overview,GBR,185,1997.04.09,1398,1397,"Leeds, England",14,4
,,David Chaplefeh Forchap,,http://www.atpworldtour.com/en/players/david-chaplefeh-forchap/f895/overview,GER,,1994.06.11,1398,1397,"Left-Handed, Two-Handed Backhand",14,4
"Buenos Aires, Argentina","Right-Handed, Two-Handed Backhand",Manuel Barros,172,http://www.atpworldtour.com/en/players/manuel-barros/bk30/overview,ARG,191,1994.05.19,1398,1397,Argentina,14,4
"Tashkent, Uzbekistan","Right-Handed, Two-Handed Backhand",Shonigmatjon Shofayziyev,187,http://www.atpworldtour.com/en/players/shonigmatjon-shofayziyev/sl44/overview,UZB,203,1993.06.30,1402,1402,"Tashkent, Uzbekistan",15,4
,,Bartosz Wojnar,,http://www.atpworldtour.com/en/players/bartosz-wojnar/w642/overview,POL,,1993.09.26,1402,1402,,15,4
,,Orel Ovil,,http://www.atpworldtour.com/en/players/orel-ovil/o480/overview,ISR,,1996.10.20,1404,1404,Right-Handed,15,4
,,Mikael Riondy,,http://www.atpworldtour.com/en/players/mikael-riondy/rd37/overview,FRA,,1992.02.23,1405,1405,"Left-Handed, Two-Handed Backhand",16,4
,,Sefa Suluoglu,,http://www.atpworldtour.com/en/players/sefa-suluoglu/so05/overview,TUR,,1995.05.08,1406,1406,,17,4
,,Ameur Ben Hassen,,http://www.atpworldtour.com/en/players/ameur-ben-hassen/bj15/overview,TUN,,1993.06.28,1407,1407,,19,4
"Mumbai, India",Right-Handed,Purav Raja,198,http://www.atpworldtour.com/en/players/purav-raja/r823/overview,IND,183,1985.12.07,1408,1408,"Mumbai, India",1,3
,,Kyle Koch,,http://www.atpworldtour.com/en/players/kyle-koch/ki16/overview,USA,,1992.10.30,1408,1408,,1,3
,,Matyas Fuele,,http://www.atpworldtour.com/en/players/matyas-fuele/f09u/overview,HUN,,1998.12.22,1408,1408,,1,3
,,Or Ram-Harel,,http://www.atpworldtour.com/en/players/or-ram-harel/rc24/overview,ISR,,1995.02.01,1408,1408,,1,3
,,Woo Hyeok Jang,,http://www.atpworldtour.com/en/players/woo-hyeok-jang/j564/overview,KOR,,1993.12.22,1408,1408,,1,3
"Newport Beach, CA, USA","Left-Handed, Two-Handed Backhand",Carsten Ball,200,http://www.atpworldtour.com/en/players/carsten-ball/bd59/overview,AUS,198,1987.06.20,1408,1408,"Newport Beach, CA, USA",1,3
,,Guillermo Nunez,,http://www.atpworldtour.com/en/players/guillermo-nunez/n698/overview,CHI,,1995.07.22,1408,1408,,1,3
"Budapest, Hungary",,Mate Valkusz,,http://www.atpworldtour.com/en/players/mate-valkusz/va70/overview,HUN,,1998.08.13,1408,1408,"Right-Handed, Two-Handed Backhand",1,3
"Bayonne, France","Right-Handed, One-Handed Backhand",Fabrice Martin,220,http://www.atpworldtour.com/en/players/fabrice-martin/me04/overview,FRA,198,1986.09.11,1408,1408,"Bradenton, FL, USA",1,3
Newport Beach,"Right-Handed, Two-Handed Backhand",Spencer Papa,190,http://www.atpworldtour.com/en/players/spencer-papa/pf91/overview,USA,188,1995.10.22,1417,1417,"Edmond, Oklahoma",2,3
,,George Jecminek,,http://www.atpworldtour.com/en/players/george-jecminek/j430/overview,CAN,,1987.01.30,1417,1417,"Right-Handed, Two-Handed Backhand",2,3
,,Justin Roberts,,http://www.atpworldtour.com/en/players/justin-roberts/rh17/overview,BAH,,1996.12.04,1417,1417,Right-Handed,2,3
,,Felix Corwin,,http://www.atpworldtour.com/en/players/felix-corwin/cn15/overview,USA,,1996.05.26,1417,1417,,2,3
,,Brendon Moore,,http://www.atpworldtour.com/en/players/brendon-moore/mg18/overview,AUS,,1985.07.06,1421,1421,,2,3
,,Diego Hidalgo,,http://www.atpworldtour.com/en/players/diego-hidalgo/h928/overview,ECU,,1993.04.18,1421,1421,,2,3
,,Kareem Allaf,,http://www.atpworldtour.com/en/players/kareem-allaf/ag60/overview,SYR,,1998.03.22,1423,1423,"Right-Handed, Two-Handed Backhand",3,3
,,Mattias Siimar,,http://www.atpworldtour.com/en/players/mattias-siimar/sx94/overview,EST,,1998.02.03,1424,1424,,3,3
,,Sanhui Shin,,http://www.atpworldtour.com/en/players/sanhui-shin/s09p/overview,KOR,,1997.03.18,1424,1424,,3,3
,,Niclas Braun,,http://www.atpworldtour.com/en/players/niclas-braun/bu37/overview,GER,,1996.08.22,1424,1424,,3,3
,,Lukas Finzelberg,,http://www.atpworldtour.com/en/players/lukas-finzelberg/f980/overview,GER,,1994.03.12,1424,1424,,3,3
Kyunggi-do,Park Seung-Gyu,Jae-Min Seol,185,http://www.atpworldtour.com/en/players/jae-min-seol/sj47/overview,KOR,193,1990.01.15,1424,1424,"Right-Handed, One-Handed Backhand",3,3
,,Luca Giacomini,,http://www.atpworldtour.com/en/players/luca-giacomini/gk24/overview,ITA,,1997.10.24,1424,1537,,3,3
,,Aleksandre Bakshi,,http://www.atpworldtour.com/en/players/aleksandre-bakshi/bp74/overview,GEO,,1997.07.15,1424,1424,"Left-Handed, Two-Handed Backhand",3,3
,,Arjun Kadhe,,http://www.atpworldtour.com/en/players/arjun-kadhe/kd43/overview,IND,,1994.01.07,1431,1430,"Right-Handed, Two-Handed Backhand",3,3
,,Rene Yegros Codiani,,http://www.atpworldtour.com/en/players/rene-yegros-codiani/y192/overview,ARG,,1991.05.08,1431,1430,,3,3
,,Dominik Wirlend,,http://www.atpworldtour.com/en/players/dominik-wirlend/w593/overview,AUT,,1991.01.29,1431,1430,,3,3
,,David Souto,,http://www.atpworldtour.com/en/players/david-souto/sk06/overview,VEN,,1992.03.26,1434,1434,Left-Handed,4,3
"Shreveport, LA, USA","Right-Handed, Two-Handed Backhand",Christian Harrison,160,http://www.atpworldtour.com/en/players/christian-harrison/hb05/overview,USA,178,1994.05.29,1434,1434,"Bradenton, Florida, USA",4,3
,,Benjamin Hannestad,,http://www.atpworldtour.com/en/players/benjamin-hannestad/hh01/overview,DEN,,1997.02.14,1434,1434,"Right-Handed, Two-Handed Backhand",4,3
,,Ivan Kosec,,http://www.atpworldtour.com/en/players/ivan-kosec/kc30/overview,SVK,,1991.04.15,1437,1437,,4,3
,,Cristopher Kohl,,http://www.atpworldtour.com/en/players/cristopher-kohl/kg96/overview,CHI,,1996.09.30,1437,1437,,4,3
"Gothenburg, Sweden","Right-Handed, Two-Handed Backhand",Sam Taylor,172,http://www.atpworldtour.com/en/players/sam-taylor/te33/overview,SWE,185,1997.07.03,1439,1439,"Gothenburg, Sweden",4,3
,,David Gorsic,,http://www.atpworldtour.com/en/players/david-gorsic/gk21/overview,SLO,,1991.12.02,1439,1439,"Right-Handed, Two-Handed Backhand",4,3
Singapore,"Right-Handed, One-Handed Backhand",Roy Hobbs,154,http://www.atpworldtour.com/en/players/roy-hobbs/ha90/overview,SIN,183,1989.08.13,1439,1439,Singapore,4,3
"Skokie, Illinois",Right-Handed,Tom Fawcett,205,http://www.atpworldtour.com/en/players/tom-fawcett/f974/overview,USA,196,1995.10.18,1442,1442,"Winnetka, Il. USA",5,3
,,Tim Nekic,,http://www.atpworldtour.com/en/players/tim-nekic/n688/overview,GER,,1992.12.09,1442,1442,Left-Handed,5,3
,,Duje Delic,,http://www.atpworldtour.com/en/players/duje-delic/db72/overview,CRO,,1994.07.17,1442,1442,,5,3
"Hangzhou, Zhejiang, China",,Yibing Wu,,http://www.atpworldtour.com/en/players/yibing-wu/wb32/overview,CHN,,1999.10.14,1445,1608,"Right-Handed, Two-Handed Backhand",5,3
,,Benjamin Hassan,,http://www.atpworldtour.com/en/players/benjamin-hassan/hg94/overview,GER,,1995.02.04,1445,1445,,5,3
,,Liam Caruana,,http://www.atpworldtour.com/en/players/liam-caruana/co06/overview,USA,,1998.01.22,1445,1445,"Right-Handed, Two-Handed Backhand",5,3
"Mendoza, Argentina","Right-Handed, One-Handed Backhand",Martin Alund,176,http://www.atpworldtour.com/en/players/martin-alund/a539/overview,ARG,183,1985.12.26,1445,1455,"Mendoza, Argentina",5,3
,,Adam Thornton-Brown,,http://www.atpworldtour.com/en/players/adam-thornton-brown/tb90/overview,GBR,,1991.05.15,1445,1445,,5,3
,,Hong Kit Wong,,http://www.atpworldtour.com/en/players/hong-kit-wong/wb15/overview,HKG,,1998.08.30,1445,1445,,5,3
"Minsk, Belarus",,Maxim Tybar,,http://www.atpworldtour.com/en/players/maxim-tybar/tg53/overview,BLR,,1998.06.01,1451,1449,"Right-Handed, Two-Handed Backhand",6,3
"Cologne, Germany","Right-Handed, Two-Handed Backhand",Andreas Mies,185,http://www.atpworldtour.com/en/players/andreas-mies/mj40/overview,GER,188,1990.08.21,1452,1450,"Cologne, Germany",6,3
,,Jajbir Saran,,http://www.atpworldtour.com/en/players/jajbir-saran/sy54/overview,IND,,1995.01.01,1452,1450,,6,3
,,Marin Bradaric,,http://www.atpworldtour.com/en/players/marin-bradaric/bc14/overview,CRO,,1985.09.05,1452,1450,,6,3
,,Manuel Pena Lopez,,http://www.atpworldtour.com/en/players/manuel-pena-lopez/pj32/overview,ARG,,1998.02.10,1455,1455,,6,3
,,Alexei Filenkov,,http://www.atpworldtour.com/en/players/alexei-filenkov/f417/overview,RUS,,1981.05.17,1455,1455,,6,3
"Santiago, Chile","Right-Handed, One-Handed Backhand",Marcelo Plaza,172,http://www.atpworldtour.com/en/players/marcelo-plaza/pf18/overview,CHI,180,1994.01.27,1455,1455,"Limelette, Belgium",6,3
,,Philip Orno,,http://www.atpworldtour.com/en/players/philip-orno/o453/overview,DEN,,1986.12.09,1455,1455,"Right-Handed, Two-Handed Backhand",6,3
Brisbane,"Right-Handed, Two-Handed Backhand",Blake Ellis,165,http://www.atpworldtour.com/en/players/blake-ellis/ea27/overview,AUS,191,1999.01.06,1455,1455,Brisbane,6,3
,,Juan Pablo Canas Garcia,,http://www.atpworldtour.com/en/players/juan-pablo-canas-garcia/cj53/overview,ESP,,1997.03.08,1455,1455,,6,3
Dimitrovgrad,"Right-Handed, Two-Handed Backhand",Petar Trendafilov,165,http://www.atpworldtour.com/en/players/petar-trendafilov/t888/overview,BUL,180,1984.09.11,1461,1464,Bulgaria,7,3
"Santiago, Chile",Arturo Palma,Vicente Lagos,161,http://www.atpworldtour.com/en/players/vicente-lagos/lh66/overview,CHI,175,1996.01.23,1461,1464,"Right-Handed, Two-Handed Backhand",7,3
,,Jae Hwan Kim,187,http://www.atpworldtour.com/en/players/jae-hwan-kim/kc89/overview,KOR,183,1994.09.23,1461,1464,"Left-Handed, Two-Handed Backhand",7,3
Port Lincoln,"Right-Handed, Two-Handed Backhand",Darren K. Polkinghorne,154,http://www.atpworldtour.com/en/players/darren-k-polkinghorne/pg86/overview,AUS,170,1993.02.26,1464,1481,"Adelaide, Australia",7,3
,,Panu Virtanen,,http://www.atpworldtour.com/en/players/panu-virtanen/v930/overview,FIN,,1996.02.17,1464,1467,,7,3
"Chennai, India",c.v nagraj,Vignesh Peranamallur,165,http://www.atpworldtour.com/en/players/vignesh-peranamallur/pc36/overview,IND,173,1987.11.06,1464,1467,"Right-Handed, Two-Handed Backhand",7,3
,,Yang Lu,,http://www.atpworldtour.com/en/players/yang-lu/la10/overview,CHN,,1992.09.19,1464,1481,,7,3
,,Ivo Mijic,,http://www.atpworldtour.com/en/players/ivo-mijic/mf54/overview,GER,,1990.01.15,1464,1467,,7,3
"Pilsen, Czech Republic",,Ondrej Krstev,,http://www.atpworldtour.com/en/players/ondrej-krstev/kh44/overview,CZE,,1997.06.13,1464,1467,"Left-Handed, Two-Handed Backhand",7,3
,,Bhavesh Gour,,http://www.atpworldtour.com/en/players/bhavesh-gour/gj83/overview,IND,,1990.06.07,1464,1467,,7,3
,,Sergiu Ioan Bucur,,http://www.atpworldtour.com/en/players/sergiu-ioan-bucur/bt73/overview,ROU,,1997.04.11,1464,1467,"Right-Handed, Two-Handed Backhand",7,3
,,Robert Galloway,,http://www.atpworldtour.com/en/players/robert-galloway/g09v/overview,USA,,1992.09.24,1464,1467,"Right-Handed, Two-Handed Backhand",7,3
,,Filippo Borella,,http://www.atpworldtour.com/en/players/filippo-borella/bj74/overview,ITA,,1993.07.19,1464,1467,,7,3
"Laval, Canada","Left-Handed, Two-Handed Backhand",Antoine Richard,181,http://www.atpworldtour.com/en/players/antoine-richard/rb93/overview,CAN,193,1994.02.19,1474,1477,"Laval, Canada",8,3
,,Alexander Zhurbin,,http://www.atpworldtour.com/en/players/alexander-zhurbin/z301/overview,RUS,,1992.01.14,1474,1477,,8,3
,,Mark Vervoort,,http://www.atpworldtour.com/en/players/mark-vervoort/v612/overview,NED,,1990.10.07,1474,1488,,8,3
,,Cesar Testoni,,http://www.atpworldtour.com/en/players/cesar-testoni/tg78/overview,FRA,,1995.10.04,1474,1477,Reunion,8,3
,,Diego-Jose Manrique-Velazquez,,http://www.atpworldtour.com/en/players/diego-jose-manrique-velazquez/mh81/overview,ESP,,1989.07.23,1474,1477,,8,3
,,Ioannis Stergiou,,http://www.atpworldtour.com/en/players/ioannis-stergiou/sq22/overview,GRE,,1995.04.03,1479,1703,,8,3
"Bremen, Germany","Right-Handed, Two-Handed Backhand",Lukas Ruepke,187,http://www.atpworldtour.com/en/players/lukas-ruepke/rd34/overview,GER,180,1993.07.06,1479,1492,"Bremen, Germany",8,3
,,Luis Fernando Ramirez,,http://www.atpworldtour.com/en/players/luis-fernando-ramirez/rb40/overview,VEN,,1991.12.02,1479,1492,"Right-Handed, Two-Handed Backhand",8,3
"Budapest, Hungary","Right-Handed, Two-Handed Backhand",Levente Godry,194,http://www.atpworldtour.com/en/players/levente-godry/gc66/overview,HUN,185,1992.04.17,1479,1481,"Hungary,Budapest",8,3
,,Nicolo Turchetti,,http://www.atpworldtour.com/en/players/nicolo-turchetti/tc78/overview,ITA,,1996.05.29,1479,1703,,8,3
"Paris, France","Right-Handed, Two-Handed Backhand",Victor Girat Magin,181,http://www.atpworldtour.com/en/players/victor-girat-magin/ge58/overview,FRA,183,1993.09.28,1479,1492,"Paris, France",8,3
,,Denis Kapric,,http://www.atpworldtour.com/en/players/denis-kapric/kd29/overview,GER,,1994.08.24,1479,1481,,8,3
,,Dmitry Mnushkin,,http://www.atpworldtour.com/en/players/dmitry-mnushkin/mp56/overview,RUS,,1996.04.29,1479,1467,,8,3
,,Juan Matias Gonzalez Carrasco,,http://www.atpworldtour.com/en/players/juan-matias-gonzalez-carrasco/gc98/overview,CHI,,1994.02.18,1479,1481,,8,3
"Bangkok, Thailand","Right-Handed, Two-Handed Backhand",Congsup Congcar,150,http://www.atpworldtour.com/en/players/congsup-congcar/cm88/overview,THA,175,1996.08.21,1479,1492,"Bangkok, Thailand",8,3
,,Ayoub Chakrouni,,http://www.atpworldtour.com/en/players/ayoub-chakrouni/cg73/overview,MAR,,1991.06.10,1479,1481,,8,3
,,Dimitriy Voronin,,http://www.atpworldtour.com/en/players/dimitriy-voronin/va39/overview,RUS,,1999.05.28,1490,1720,,9,3
,,Lukas Jastraunig,,http://www.atpworldtour.com/en/players/lukas-jastraunig/j401/overview,AUT,,1989.08.03,1490,1488,,9,3
,,Strahinja Rakic,,http://www.atpworldtour.com/en/players/strahinja-rakic/rd08/overview,SRB,,1996.03.30,1490,1488,,9,3
,,Sergio Castellon Guasch,,http://www.atpworldtour.com/en/players/sergio-castellon-guasch/cj51/overview,ESP,,1996.12.16,1490,1488,,9,3
"Brisbane, Australia","Right-Handed, Two-Handed Backhand",Ryan Agar,176,http://www.atpworldtour.com/en/players/ryan-agar/a834/overview,AUS,180,1987.06.21,1494,1492,"Brisbane, Australia",9,3
,,Akram El Sallaly,,http://www.atpworldtour.com/en/players/akram-el-sallaly/ea34/overview,EGY,,1997.11.13,1494,1492,,9,3
,,Srdjan Jakovljevic,,http://www.atpworldtour.com/en/players/srdjan-jakovljevic/j633/overview,SRB,,1996.05.16,1494,1492,,9,3
,,Mateusz Terczynski,,http://www.atpworldtour.com/en/players/mateusz-terczynski/tc46/overview,POL,,1996.03.02,1494,1492,Right-Handed,9,3
,,Stefan Milicevic,,http://www.atpworldtour.com/en/players/stefan-milicevic/mr98/overview,SRB,,1997.04.26,1498,1501,,10,3
,,Hicham Khaddari,,http://www.atpworldtour.com/en/players/hicham-khaddari/kb07/overview,MAR,,1991.08.19,1498,1501,,10,3
,Delledera Michelangelo,Giorgio Portaluri,,http://www.atpworldtour.com/en/players/giorgio-portaluri/pd04/overview,ITA,,1990.09.12,1500,1509,Right-Handed,10,3
,,Delf Gohlke,,http://www.atpworldtour.com/en/players/delf-gohlke/ge81/overview,GER,,1993.06.25,1500,1503,,10,3
"Mexico City, Mexico","Right-Handed, Two-Handed Backhand",Ivar Jose Aramburu Contreras,165,http://www.atpworldtour.com/en/players/ivar-jose-aramburu-contreras/ab70/overview,MEX,,1994.03.21,1500,1503,"Puebla, Mexico",10,3
,,Piotr Grynkowski,,http://www.atpworldtour.com/en/players/piotr-grynkowski/gg99/overview,POL,,1992.06.12,1500,1492,,10,3
Nantong,,Zhuoyang Qiu,165,http://www.atpworldtour.com/en/players/zhuoyang-qiu/q949/overview,CHN,185,1996.06.23,1500,1730,"Right-Handed, Two-Handed Backhand",10,3
"Mobile, AL, USA","Right-Handed, Two-Handed Backhand",Anderson Reed,160,http://www.atpworldtour.com/en/players/anderson-reed/r908/overview,USA,173,1990.09.19,1500,1503,"Fort Lauderdale, FL , USA",10,3
,,Zhicheng Zhu,,http://www.atpworldtour.com/en/players/zhicheng-zhu/z412/overview,CHN,,1995.09.14,1500,1503,"Right-Handed, Two-Handed Backhand",10,3
,,Scott Puodziunas,,http://www.atpworldtour.com/en/players/scott-puodziunas/pe39/overview,AUS,,1989.11.09,1507,1509,,11,3
"Haarlem, Netherlands","Right-Handed, Two-Handed Backhand",Moos Sporken,214,http://www.atpworldtour.com/en/players/moos-sporken/sn86/overview,NED,183,1994.02.22,1507,1509,"Lisse, Netherlands",11,3
"Shymkent, Kazakhstan","Right-Handed, Two-Handed Backhand",Bolat Mamyr,154,http://www.atpworldtour.com/en/players/bolat-mamyr/mo33/overview,KAZ,180,1997.05.08,1507,1509,"Astana, Kazakhstan",11,3
,,Agustin Moyano,,http://www.atpworldtour.com/en/players/agustin-moyano/mj28/overview,ARG,,1990.11.07,1507,1509,,11,3
,,Lucas Bouquet,,http://www.atpworldtour.com/en/players/lucas-bouquet/bu32/overview,FRA,,1997.08.05,1507,1509,"Right-Handed, Two-Handed Backhand",11,3
"Winterthur, Switzerland","Right-Handed, Two-Handed Backhand",Marko Osmakcic,190,http://www.atpworldtour.com/en/players/marko-osmakcic/o570/overview,SUI,193,1998.08.10,1512,1509,"Rafz, Switzerland",12,3
"Rotterdam, Netherlands","Right-Handed, Two-Handed Backhand",Bobbie De Goeijen,172,http://www.atpworldtour.com/en/players/bobbie-de-goeijen/da34/overview,NED,178,1992.07.05,1512,1516,"Rotterdam, Netherlands",12,3
,,Daniel Dudockin,,http://www.atpworldtour.com/en/players/daniel-dudockin/dc81/overview,ISR,,1997.02.21,1512,1516,,12,3
,,Santiago Maresca,,http://www.atpworldtour.com/en/players/santiago-maresca/ml08/overview,URU,,1994.09.14,1512,1516,,12,3
,Right-Handed,Janicije Sasha Karic,150,http://www.atpworldtour.com/en/players/janicije-sasha-karic/kc80/overview,USA,183,1995.09.11,1512,1516,"Los Angeles, CA, USA",12,3
"Moscow, Russia","Right-Handed, Two-Handed Backhand",Vladimir Polyakov,154,http://www.atpworldtour.com/en/players/vladimir-polyakov/pf03/overview,RUS,178,1994.06.18,1517,1520,"Moscow, Russia",13,3
,,Motvey Radionov,,http://www.atpworldtour.com/en/players/motvey-radionov/rd50/overview,ISR,,1997.05.21,1518,1521,,13,3
"Stockholm, Sweden","Right-Handed, Two-Handed Backhand",Lucas Renard,176,http://www.atpworldtour.com/en/players/lucas-renard/rb49/overview,SWE,185,1992.09.30,1518,1521,"Stockholm, Sweden",13,3
,,Bogdan Ionut Apostol,,http://www.atpworldtour.com/en/players/bogdan-ionut-apostol/ab90/overview,ROU,,1996.01.17,1518,1521,,13,3
,,Pavel Staubert,165,http://www.atpworldtour.com/en/players/pavel-staubert/sw51/overview,CZE,180,1996.01.11,1518,1521,"Right-Handed, Two-Handed Backhand",13,3
"Iquique, Chile","Left-Handed, Two-Handed Backhand",Esteban  Bruna,168,http://www.atpworldtour.com/en/players/esteban--bruna/bk69/overview,CHI,180,1995.01.19,1522,1525,"Buenos Aires, Argentina",14,3
,,Fatih Taha Erun,,http://www.atpworldtour.com/en/players/fatih-taha-erun/e789/overview,TUR,,1994.07.05,1523,1527,,19,3
,,Maks Tekavec,,http://www.atpworldtour.com/en/players/maks-tekavec/tg32/overview,SLO,,1996.03.22,1524,1528,,1,2
,,Agustin Savarino,,http://www.atpworldtour.com/en/players/agustin-savarino/sq23/overview,ARG,,1996.08.07,1524,1528,,1,2
Brazil,"Right-Handed, One-Handed Backhand",Julio Peralta,174,http://www.atpworldtour.com/en/players/julio-peralta/p519/overview,CHI,188,1981.09.09,1524,1003,Chile,1,2
,,Javier Jover Maestre,,http://www.atpworldtour.com/en/players/javier-jover-maestre/j558/overview,ESP,,1995.03.25,1524,1528,,1,2
,,Alfredo Perez,,http://www.atpworldtour.com/en/players/alfredo-perez/pl39/overview,USA,,1997.05.22,1524,1528,,1,2
,,Akihiro Tanaka,,http://www.atpworldtour.com/en/players/akihiro-tanaka/tg17/overview,JPN,,1996.01.02,1524,1528,,1,2
,,Nils Heimer,,http://www.atpworldtour.com/en/players/nils-heimer/hh33/overview,SWE,,1997.11.30,1524,1528,,1,2
,,Hendrik Jebens,,http://www.atpworldtour.com/en/players/hendrik-jebens/j09f/overview,GER,,1995.08.08,1524,1528,,1,2
,,Abdelhak Hameurlaine,,http://www.atpworldtour.com/en/players/abdelhak-hameurlaine/h298/overview,ALG,,1972.03.19,1524,1528,Right-Handed,1,2
,,Paco Climent Gregori,,http://www.atpworldtour.com/en/players/paco-climent-gregori/cj46/overview,ESP,,1998.10.02,1524,1528,,1,2
,,Rodrigo Sanchez,,http://www.atpworldtour.com/en/players/rodrigo-sanchez/sl95/overview,PER,,1991.09.19,1534,1537,,2,2
,,Seydou Diallo,,http://www.atpworldtour.com/en/players/seydou-diallo/de20/overview,MLI,,1995.11.27,1534,1537,,2,2
"Busan, Korea",,Seong-Gook Oh,176,http://www.atpworldtour.com/en/players/seong-gook-oh/o390/overview,KOR,191,1992.04.23,1534,1537,"Right-Handed, Two-Handed Backhand",2,2
,,Ahmed Deedat Abdul Razak,,http://www.atpworldtour.com/en/players/ahmed-deedat-abdul-razak/ab68/overview,MAS,,1995.06.18,1534,1537,,2,2
,,Jae-Won Choi,,http://www.atpworldtour.com/en/players/jae-won-choi/cd17/overview,KOR,,1989.09.29,1534,1537,,2,2
"Limburg an der Lahn, Germany",Right-Handed,Milen Ianakiev,163,http://www.atpworldtour.com/en/players/milen-ianakiev/i299/overview,GER,185,1995.07.20,1534,1537,Germany,2,2
,,Juan Rocha,,http://www.atpworldtour.com/en/players/juan-rocha/rc46/overview,ARG,,1991.07.05,1534,1537,Right-Handed,2,2
,,Timothee Zannou,,http://www.atpworldtour.com/en/players/timothee-zannou/z460/overview,BEN,,1987.01.01,1541,1546,,2,2
Hong Kong,"Right-Handed, Two-Handed Backhand",Johnny Wang,168,http://www.atpworldtour.com/en/players/johnny-wang/w705/overview,USA,178,1993.04.14,1541,1546,United States,2,2
Taichung,"Right-Handed, Two-Handed Backhand",Tung-Lin Wu,159,http://www.atpworldtour.com/en/players/tung-lin-wu/w857/overview,TPE,185,1998.05.12,1541,1546,Chinese Taipei,2,2
"Ascoli Piceno, Italy",Right-Handed,Simone Vagnozzi,132,http://www.atpworldtour.com/en/players/simone-vagnozzi/v339/overview,ITA,173,1983.05.30,1541,1546,"Castorano, Italy",2,2
,,Geon Ju Shin,,http://www.atpworldtour.com/en/players/geon-ju-shin/sq34/overview,KOR,,1996.02.12,1541,1546,,2,2
,,Giovani Samaha,,http://www.atpworldtour.com/en/players/giovani-samaha/ss33/overview,LIB,,1994.07.14,1541,1546,Left-Handed,2,2
,,Dovydas Sakinis,,http://www.atpworldtour.com/en/players/dovydas-sakinis/sk08/overview,LTU,,1992.07.02,1541,1546,,2,2
"San Francisco, CA, USA","Right-Handed, Two-Handed Backhand",Matt Seeberger,177,http://www.atpworldtour.com/en/players/matt-seeberger/sj59/overview,USA,188,1984.08.10,1541,1430,"San Francisco, CA, USA",2,2
,,Gueninle Abdoul Kari Ouattara,,http://www.atpworldtour.com/en/players/gueninle-abdoul-kari-ouattara/o621/overview,CIV,,1997.08.06,1541,1546,,2,2
Cucuta,Melkin Pabon,William Jamphier Melano Granados,141,http://www.atpworldtour.com/en/players/william-jamphier-melano-granados/mo86/overview,COL,170,1995.05.20,1541,1546,"Right-Handed, Two-Handed Backhand",2,2
,,Patrick Prader,,http://www.atpworldtour.com/en/players/patrick-prader/pb98/overview,ITA,,1986.06.05,1541,1546,,2,2
,,Nathan Martinet,,http://www.atpworldtour.com/en/players/nathan-martinet/ml23/overview,FRA,,1991.09.29,1541,1546,,2,2
,,Gaston-Arturo Grimolizzi,,http://www.atpworldtour.com/en/players/gaston-arturo-grimolizzi/g873/overview,ARG,,1986.06.03,1541,1546,Argentina,2,2
,,Marcus Fugate,,http://www.atpworldtour.com/en/players/marcus-fugate/f536/overview,USA,,1988.01.22,1541,1546,,2,2
,,Sylvester Emmanuel,,http://www.atpworldtour.com/en/players/sylvester-emmanuel/e09t/overview,NGR,,1998.04.04,1541,1546,,2,2
,,Yuya Ito,,http://www.atpworldtour.com/en/players/yuya-ito/i345/overview,JPN,,1997.01.09,1541,1546,,2,2
,,Johnny Arcilla,0,http://www.atpworldtour.com/en/players/johnny-arcilla/a339/overview,PHI,0,1980.02.15,1541,1546,Right-Handed,2,2
,,Henry Atseye,0,http://www.atpworldtour.com/en/players/henry-atseye/a842/overview,NGR,0,1989.02.25,1541,1546,,2,2
,,Zeke Clark,,http://www.atpworldtour.com/en/players/zeke-clark/co07/overview,USA,,1998.07.19,1541,1546,,2,2
,,George Goldhoff,,http://www.atpworldtour.com/en/players/george-goldhoff/gg33/overview,USA,,1995.01.14,1541,1546,"Right-Handed, Two-Handed Backhand",2,2
,,Gustav Hansson,,http://www.atpworldtour.com/en/players/gustav-hansson/hb55/overview,SWE,,1995.04.15,1541,1546,,2,2
,,Curtis Clarke,,http://www.atpworldtour.com/en/players/curtis-clarke/ch92/overview,GBR,,1995.04.01,1541,1546,"Right-Handed, Two-Handed Backhand",2,2
"Bologna, Italy",Right-Handed,Enrico Burzi,168,http://www.atpworldtour.com/en/players/enrico-burzi/bc62/overview,ITA,178,1981.01.14,1563,1568,"Bologna, Italy",3,2
,,Mohammed Mohazebnia,,http://www.atpworldtour.com/en/players/mohammed-mohazebnia/mc71/overview,IRI,,1982.06.11,1563,1568,,3,2
,,John Mcnally,,http://www.atpworldtour.com/en/players/john-mcnally/mw84/overview,USA,,1998.10.18,1563,1568,,3,2
,,Floris Van Den Brink,,http://www.atpworldtour.com/en/players/floris-van-den-brink/v09g/overview,NED,,1995.07.21,1566,1571,"Right-Handed, Two-Handed Backhand",3,2
"Durban, South Africa",Left-Handed,Wesley Whitehouse,200,http://www.atpworldtour.com/en/players/wesley-whitehouse/w272/overview,NZL,191,1979.03.13,1566,1571,"Pretoria, S.A./Phoenix, U.S.A.",3,2
Hong Kong,"Right-Handed, Two-Handed Backhand",Chun Hun Wong,145,http://www.atpworldtour.com/en/players/chun-hun-wong/w730/overview,HKG,170,1995.10.30,1566,1571,Hong Kong,3,2
